"TABLE 6. GROSS INCOME PER EMPLOYEE, BY OCCUPATION (2011 CLASSIFICATION),",,,,,,,,,"לוח 6. הכנסה ברוטו לשכיר, לפי משלח יד (סיווג 2011),",- 85 -
                  AGE GROUP AND SEX,,,,,,,,,          קבוצת גיל ומין,
2017,,,,,,,,,,
,עובדים,עובדים ,עובדי,פקידים כלליים,"הנדסאים, טכנאים,",בעלי,מנהלים,סך הכל(1),,
,בלתי,מקצועיים(2),מכירות,ועובדי משרד,סוכנים ובעלי,משלח יד,,,,
,מקצועיים,,ושירותים,,משלח יד נלווה,אקדמי,,,,
,,,,,"Practical engineers,",,,,,
,,,Service,Clerical,"technicians, agents,",,,,,
,Elementary,Skilled,and sales,support,and associate,Profes-,,,,
,occupations,workers(2),workers,workers,professionals,sionals,Managers,Total(1),,
Grand total,,,,,,,,,סך כולל,
   Employees (thousands),215.5,426.4,635.9,248.4,403.5,816.0,325.9,"3,385.5",   שכירים (אלפים),
,±19.9,±27.0,±32.3,±20.4,±25.3,±34.3,±21.7,±63.0,,
   Median gross income (NIS),"4,565","7,680","4,899","6,574","8,553","11,661","14,584","7,452","   חציון הכנסה ברוטו (ש""ח)",
   Average gross income (NIS) – per month,"4,582","8,800","5,614","7,837","10,632","14,243","17,583","10,095","   הכנסה ממוצעת ברוטו (ש""ח) – לחודש",
,±285.7,±463.5,±216.7,±629.4,±552.3,±494.4,±834.8,±208.9,,
                                                  – per work hour,29.2,45.0,37.6,48.6,61.3,85.4,87.4,58.8,                                            – לשעת עבודה,
,±1.5,±2.3,±1.2,±3.8,±3.1,±2.7,±4.0,±1.2,,
   Number of work hours per week,38.3,46.7,36.3,38.7,41.0,39.6,47.3,41.0,   מספר שעות עבודה לשבוע,
,±1.2,±0.7,±0.7,±0.8,±0.7,±0.5,±0.7,±0.3,,
Age group,,,,,,,,,קבוצת גיל,
15–24,,,,,,,,,15–24,
   Employees (thousands),60.7,54.5,143.4,36.8,35.3,32.0,24.9,540.8,   שכירים (אלפים),
,±10.0,±10.9,±14.9,±8.9,±7.6,±7.1,±6.7,±29.1,,
   Median gross income (NIS),"2,043","5,610","3,582","4,923","4,952","3,742","7,240","2,672","   חציון הכנסה ברוטו (ש""ח)",
   Average gross income (NIS) – per month,"2,775","5,395","3,718","(4,438)","(5,069)","5,166","(6,958)","3,580","   הכנסה ממוצעת ברוטו (ש""ח) – לחודש",
,±351.0,±460.9,±266.2,±554.5,±816.4,±943.4,±694.8,±166.9,,
                                                  – per work hour,18.2,31.9,27.7,29.1,33.2,42.9,36.8,22.7,                                            – לשעת עבודה,
,±2.3,±1.8,±1.6,±2.3,±4.7,±6.9,±3.4,±1.0,,
   Number of work hours per week,39.1,43.9,34.4,37.0,37.5,30.7,45.8,39.2,   מספר שעות עבודה לשבוע,
,±1.9,±1.8,±1.5,±2.8,±3.2,±3.0,±2.8,±0.7,,
25–34,,,,,,,,,25–34,
   Employees (thousands),43.3,94.4,150.8,64.6,110.2,260.5,68.7,850.4,   שכירים (אלפים),
,±9.8,±13.7,±16.2,±10.7,±13.5,±21.7,±10.5,±37.0,,
   Median gross income (NIS),"5,608","7,446","4,950","6,093","7,537","9,312","9,987","7,259","   חציון הכנסה ברוטו (ש""ח)",
   Average gross income (NIS) – per month,"5,823","7,839","5,542","6,188","8,638","11,075","11,956","8,706","   הכנסה ממוצעת ברוטו (ש""ח) – לחודש",
,±670.4,±481.5,±371.2,±446.8,±820.6,±576.4,"±1,017.6",±274.5,,
                                                  – per work hour,35.3,39.2,36.8,39.0,49.4,66.5,60.6,50.9,                                            – לשעת עבודה,
,±3.3,±2.2,±1.9,±2.3,±4.5,±2.9,±5.2,±1.5,,
   Number of work hours per week,40.2,47.9,36.8,38.8,41.7,40.0,47.1,41.2,   מספר שעות עבודה לשבוע,
,±2.6,±1.2,±1.5,±1.6,±1.6,±0.9,±2.0,±0.6,,
Revised: 26.01.2020.,,,,,,,,,תוקן: 26.01.2020.,
"TABLE 6. GROSS INCOME PER EMPLOYEE, BY OCCUPATION (2011 CLASSIFICATION),",,,,,,,,,"לוח 6. הכנסה ברוטו לשכיר, לפי משלח יד (סיווג 2011),",- 86 -
                  AGE GROUP AND SEX (Cont.),,,,,,,,,          קבוצת גיל ומין (המשך),
2017,,,,,,,,,,
,עובדים,עובדים ,עובדי,פקידים כלליים,"הנדסאים, טכנאים,",בעלי,מנהלים,סך הכל(1),,
,בלתי,מקצועיים(2),מכירות,ועובדי משרד,סוכנים ובעלי,משלח יד,,,,
,מקצועיים,,ושירותים,,משלח יד נלווה,אקדמי,,,,
,,,,,"Practical engineers,",,,,,
,,,Service,Clerical,"technicians, agents,",,,,,
,Elementary,Skilled,and sales,support,and associate,Profes-,,,,
,occupations,workers(2),workers,workers,professionals,sionals,Managers,Total(1),,
35–44,,,,,,,,,35–44,
   Employees (thousands),31.1,98.5,118.6,52.8,96.3,251.9,104.9,797.3,   שכירים (אלפים),
,±7.8,±12.3,±13.4,±9.1,±11.2,±18.7,±12.0,±31.3,,
   Median gross income (NIS),"5,110","8,195","5,636","7,065","9,936","13,037","16,847","9,661","   חציון הכנסה ברוטו (ש""ח)",
   Average gross income (NIS) – per month,"5,874","8,939","7,077","8,561","11,411","15,951","19,022","12,685","   הכנסה ממוצעת ברוטו (ש""ח) – לחודש",
,"±1,027.3",±528.8,±589.5,±807.6,±998.5,±887.2,"±1,338.8",±431.9,,
